Pair,Beefy APY,Beefy TVL,Yearn APY,Yearn TVL,Yearn Address,OP Boost,OP boost/TVL
V1-FRAX-USD+,2.7318870513595046,0.44,,,,0,0.0
V1-FRAX-ALUSD,0.0007864033762379208,901.04,,,,0,0.0
V1-USD+-DAI+,0.0076502157892544,20116.04,,,,0,0.0
V1-LUSD-DAI,0.0018445687566150948,1114.1,,,,0,0.0
V1-USDT-LUSD,0.0006190402979615595,30.99,,,,0,0.0
V1-FRAX-DOLA,0.5769952812148149,11.37,,,,0,0.0
V1-DOLA-MAI,0.0022816372793026396,2023.7,,,,0,0.0
V1-BEVELO-VELO,0.0001091808700528496,123.28,,,,0,0.0
V1-SFRXETH-FRXETH,4.081696682178837e-05,12532.99,,,,0,0.0
V1-USDT-MAI,0.0070304536817260566,1822.94,,,,0,0.0
V1-ALUSD-MAI-SAMM,0.039861752849552845,4.24,,,,0,0.0
V1-WETH-FRXETH,0.008780099092027926,17212.34,,,,0,0.0
V1-DAI-MAI,0.0024455046883689047,0.0,,,,0,0.0
V1-USD+-DOLA,0.0006807491134821486,691.55,,,,0,0.0
V1-WSTETH-SETH,0.005222393210316811,9124.05,,,,0,0.0
V1-JEUR-SEUR,0.00045035692846084885,5067.26,,,,0,0.0
V1-USDC-USDT,0.00882985959725291,1347.75,,,,0,0.0
V1-WETH-RETH,0.025429704548893595,0.56,,,,0,0.0
V1-WSTETH-WETH,0.0016775392583350257,17080.71,,,,0,0.0
V1-USDC-MIM,0.010578278261176521,2640.07,,,,0,0.0
V1-USD+-LUSD,0.0030502109167798164,24044.97,,,,0,0.0
V1-JEUR-AGEUR,0.00035260962603245183,7900.95,,,,0,0.0
V1-USDC-TUSD,0.011552513559958122,63.02,,,,0,0.0
V1-SUSD-LUSD,0.07080046930961914,194.18,,,,0,0.0
V1-LUSD-MAI,0.005146322700122941,3899.71,,,,0,0.0
V1-USDC-USX,0.002551811835936224,50.16,,,,0,0.0
V1-USDC-ALUSD,0.0010875835690047353,1420.08,,,,0,0.0
V1-USDC-DOLA,0.03816077415277852,28106.71,,,,0,0.0
V1-ALETH-WETH,0.0019559613757058614,7298.04,,,,0,0.0
V1-SUSD-DAI,0.01776224064555043,3.72,,,,0,0.0
V1-USDC-LUSD,0.005882364936129925,10528.81,,,,0,0.0
V1-FRAX-USDC,0.005412291790368284,19.48,,,,0,0.0
V1-WETH-SETH,0.004343186642049357,130096.09,,,,0,0.0
V1-USDC-SUSD,0.004820620425822764,1030395.96,,,,0,0.0
V1-USDC-MAI,0.002059380392815724,33936.03,0.0,0.0,0x682dF61222A3FB64F3e88fEf41cE21499aDcc647,0,0.0
V1-USDC-DAI,0.0030177068851278133,13070.35,,,,0,0.0
V1-USDP-USDC,0.008646897014168653,1174.66,,,,0,0.0
V1-USDC-MTA,0.06612716588171019,681.58,,,,0,0.0
V1-USDC-WTBT,5.580854444531269e-05,6.5,,,,0,0.0
V1-STG-USDC,0.09787230515350132,4.79,,,,0,0.0
V1-WETH-UNIDX,2.5822171048618894,26.8,,,,0,0.0
V1-VELO-DOLA,0.054494369260567055,31.21,,,,0,0.0
V1-WUSDR-USDC,0.01694407012711374,18261.24,,,,0,0.0
V1-WETH-WSTETH,0.00033492323489170417,78511.52,,,,0,0.0
V1-RETH-WETH,0.0011561053274773414,48427.32,,,,0,0.0
V1-ALUSD-MAI,0,0.0,,,,0,0.0
V1-WSTETH-OP,0.002927598219443883,15690.8,,,,0,0.0
V1-WSTETH-USDC,0.0033792153558556137,330.35,,,,0,0.0
V1-UNIDX-DAI,0.2754099143218347,63.73,,,,0,0.0
V1-WETH-LUSD,0.033972677049923794,14284.2,,,,0,0.0
V1-THALES-WETH,0.030720659856092736,42.52,,,,0,0.0
